DDBJ/ENA/GenBank Accession	Environment	Genome Size	Genome_Quality	Completeness	GC	SRA	Study Title	Study Attribute
DHBC00000000	Bioreactor	2609483	Medium	83.9	48.85454343	SRX691275	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-5-1-140-B || BioSampleModel: MIMS.
DHBB00000000	Bioreactor	2514889	Medium	88.14	50.55589984	SRX691275	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-5-1-140-B || BioSampleModel: MIMS.
DHAP00000000	Bioreactor	1535641	Near complete	97.75	48.54432401	SRX691274	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-4-3-220-T || BioSampleModel: MIMS.
DHAN00000000	Bioreactor	2542656	Near complete	93.89	37.89578702	SRX691274	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-4-3-220-T || BioSampleModel: MIMS.
DHAA00000000	Bioreactor	2920803	Near complete	90.95	50.67719365	SRX691279	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-6-2-50-M || BioSampleModel: MIMS.m
DGZV00000000	Bioreactor	2358295	Medium	88.98	47.79879072	SRX691279	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-6-2-50-M || BioSampleModel: MIMS.m
DGZR00000000	Bioreactor	1523708	Medium	82.19	58.39239994	SRX691279	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-6-2-50-M || BioSampleModel: MIMS.m
DGZQ00000000	Bioreactor	3101285	Near complete	92.16	41.89610217	SRX691279	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-6-2-50-M || BioSampleModel: MIMS.m
DGZO00000000	Bioreactor	2521578	Medium	87.88	49.080835	SRX691279	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-6-2-50-M || BioSampleModel: MIMS.m
DGZM00000000	Bioreactor	2616193	Near complete	92.66	60.68872437	SRX691279	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-6-2-50-M || BioSampleModel: MIMS.m
DGZL00000000	Bioreactor	2468933	Near complete	90.49	49.69653135	SRX691279	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-6-2-50-M || BioSampleModel: MIMS.m
DGZB00000000	Bioreactor	2515458	Near complete	90.81	49.07022173	SRX691278	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-6-1-50-B || BioSampleModel: MIMS.m
DGZA00000000	Bioreactor	2169207	Near complete	93.5	50.39658311	SRX691278	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-6-1-50-B || BioSampleModel: MIMS.m
DGYW00000000	Bioreactor	2516066	Near complete	96.19	46.34800112	SRX691278	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-6-1-50-B || BioSampleModel: MIMS.m
DGYV00000000	Bioreactor	1735796	Medium	79.28	40.47804623	SRX691278	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-6-1-50-B || BioSampleModel: MIMS.m
DGYI00000000	Built Environment	3306877	Near complete	96.93	33.22215149	SRX822819	New York City MTA subway samples Metagenome	host: not applicable || collection_date: 29-Jul-2013 || env_biome: city || env_feature: subway || env_material: metal || geo_loc_name: USA:New York City || lat_lon: 40.70 N 74.01 W || isolate: P00853 || BioSampleModel: Metagenome or environmental
DICK00000000	Built Environment	1318409	Medium	75.69	43.95231707	SRX823250	New York City MTA subway samples Metagenome	host: not applicable || collection_date: 07-Aug-2013 || env_biome: city || env_feature: subway || env_material: metal/plastic || geo_loc_name: USA:New York City || lat_lon: 40.87 N 73.88 W || isolate: P01310 || BioSampleModel: Metagenome or environmental
DHVT00000000	Biofilm	3167382	Near complete	99.29	41.34323909	SRX559902	Hydrocarbon Metagenome	collection_date: 2010-01-21 || env_biome: biofilm || env_feature: water transfer pipe || env_material: biofilm || geo_loc_name: Fort McMurray, Alberta, Canada || lat_lon: 55.453 N, 110 .32W || BioSampleModel: MIMS.me || BioSampleModel: MIGS/MIMS/MIMARKS.w
DHUV00000000	Bioreactor	2529265	Near complete	90.71	37.8261313	SRX691264	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-1-2-440-M || BioSampleModel: MIMS.
DHUT00000000	Bioreactor	2952350	Near complete	94.81	36.37117074	SRX691264	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-1-2-440-M || BioSampleModel: MIMS.
DHUJ00000000	Bioreactor	1829103	Medium	78.18	49.50276363	SRX691264	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-1-2-440-M || BioSampleModel: MIMS.
DHTY00000000	Bioreactor	1708042	Medium	85.72	51.48476712	SRX691265	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-1-3-440-T || BioSampleModel: MIMS.
DHTT00000000	Bioreactor	3016979	Medium	89.35	60.17950032	SRX691265	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-1-3-440-T || BioSampleModel: MIMS.
DHTS00000000	Bioreactor	1443958	Partial	67.01	37.58322394	SRX691265	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-1-3-440-T || BioSampleModel: MIMS.
DHTR00000000	Bioreactor	2407411	Medium	83.95	50.17593851	SRX691265	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-1-3-440-T || BioSampleModel: MIMS.
DHTP00000000	Bioreactor	2125739	Near complete	93.22	43.8573252	SRX691265	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-1-3-440-T || BioSampleModel: MIMS.
DHTE00000000	Bioreactor	3378250	Near complete	90.18	41.93514033	SRX691266	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-2-1-400-B || BioSampleModel: MIMS.
DHSX00000000	Bioreactor	2875656	Near complete	91.96	60.36033459	SRX691266	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-2-1-400-B || BioSampleModel: MIMS.
DHSU00000000	Bioreactor	1920065	Partial	69.7	48.95517611	SRX691266	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-2-1-400-B || BioSampleModel: MIMS.
DHSM00000000	Bioreactor	2215212	Near complete	94.77	50.04420686	SRX691267	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-2-2-400-M || BioSampleModel: MIMS.
DHSJ00000000	Bioreactor	2849033	Near complete	91.77	60.37165765	SRX691267	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-2-2-400-M || BioSampleModel: MIMS.
DHSG00000000	Bioreactor	2572536	Medium	88.42	50.44608964	SRX691267	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-2-2-400-M || BioSampleModel: MIMS.
DHSF00000000	Bioreactor	3079471	Medium	90.95	41.90648501	SRX691267	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-2-2-400-M || BioSampleModel: MIMS.
DHRY00000000	Bioreactor	2502188	Medium	78.06	37.83126322	SRX691267	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-2-2-400-M || BioSampleModel: MIMS.
DHRX00000000	Bioreactor	1916905	Medium	73.39	44.82822045	SRX691267	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-2-2-400-M || BioSampleModel: MIMS.
DHRC00000000	Bioreactor	2678578	Medium	85.45	50.27235693	SRX691263	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-1-1-440-B || BioSampleModel: MIMS.
DHRA00000000	Bioreactor	2756001	Medium	83.99	50.64266993	SRX691263	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-1-1-440-B || BioSampleModel: MIMS.
DHQU00000000	Bioreactor	2492916	Medium	85.59	48.91386499	SRX691263	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-1-1-440-B || BioSampleModel: MIMS.
DHQF00000000	Bioreactor	1653911	Medium	84.56	50.7936566	SRX691283	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-05-04 || depth: 0.01m || elev: 400m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Chengdu || lat_lon: 30.65 N 104.06 E || label: Meta-7-3-30-T || BioSampleModel: MIMS.
DHPX00000000	Bioreactor	2004359	Near complete	91.17	50.60806517	SRX691283	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-05-04 || depth: 0.01m || elev: 400m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Chengdu || lat_lon: 30.65 N 104.06 E || label: Meta-7-3-30-T || BioSampleModel: MIMS.
DHPO00000000	Bioreactor	2385781	Medium	77.61	60.34503525	SRX691283	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-05-04 || depth: 0.01m || elev: 400m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Chengdu || lat_lon: 30.65 N 104.06 E || label: Meta-7-3-30-T || BioSampleModel: MIMS.
DHPN00000000	Bioreactor	1368025	Medium	84.29	54.58009798	SRX691283	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-05-04 || depth: 0.01m || elev: 400m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Chengdu || lat_lon: 30.65 N 104.06 E || label: Meta-7-3-30-T || BioSampleModel: MIMS.
DHOO00000000	Bioreactor	3197706	Near complete	93.22	41.73059243	SRX691282	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-05-04 || depth: 0.01m || elev: 400m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Chengdu || lat_lon: 30.65 N 104.06 E || label: Meta-7-2-30-M || BioSampleModel: MIMS.
DHON00000000	Bioreactor	3286765	Near complete	94.36	59.83713129	SRX691282	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-05-04 || depth: 0.01m || elev: 400m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Chengdu || lat_lon: 30.65 N 104.06 E || label: Meta-7-2-30-M || BioSampleModel: MIMS.
DHOM00000000	Bioreactor	2172017	Near complete	93.29	47.91826586	SRX691282	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-05-04 || depth: 0.01m || elev: 400m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Chengdu || lat_lon: 30.65 N 104.06 E || label: Meta-7-2-30-M || BioSampleModel: MIMS.
DHOD00000000	Bioreactor	2270357	Medium	85.24	52.14418973	SRX691282	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-05-04 || depth: 0.01m || elev: 400m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Chengdu || lat_lon: 30.65 N 104.06 E || label: Meta-7-2-30-M || BioSampleModel: MIMS.
DHNU00000000	Bioreactor	1337210	Medium	73.7	38.07812352	SRX691280	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-6-3-50-T || BioSampleModel: MIMS.m
DHNI00000000	Bioreactor	2555034	Medium	85.96	47.81061462	SRX691280	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-6-3-50-T || BioSampleModel: MIMS.m
DIRW00000000	Bioreactor	1737345	Near complete	97.32	50.76539288	SRX691281	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-05-04 || depth: 0.01m || elev: 400m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Chengdu || lat_lon: 30.65 N 104.06 E || label: Meta-7-1-30-B || BioSampleModel: MIMS.
DIRN00000000	Bioreactor	2764925	Medium	89.41	39.45966779	SRX691281	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-05-04 || depth: 0.01m || elev: 400m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Chengdu || lat_lon: 30.65 N 104.06 E || label: Meta-7-1-30-B || BioSampleModel: MIMS.
DIRB00000000	Bioreactor	2437580	Near complete	91.01	37.94289468	SRX691281	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-05-04 || depth: 0.01m || elev: 400m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Chengdu || lat_lon: 30.65 N 104.06 E || label: Meta-7-1-30-B || BioSampleModel: MIMS.
DIQZ00000000	Bioreactor	2439697	Medium	89.97	47.77690083	SRX691281	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-05-04 || depth: 0.01m || elev: 400m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Chengdu || lat_lon: 30.65 N 104.06 E || label: Meta-7-1-30-B || BioSampleModel: MIMS.
DIQX00000000	Bioreactor	2579995	Near complete	91.22	47.35836174	SRX691281	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-05-04 || depth: 0.01m || elev: 400m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Chengdu || lat_lon: 30.65 N 104.06 E || label: Meta-7-1-30-B || BioSampleModel: MIMS.
DIQU00000000	Bioreactor	1656147	Partial	68.09	41.81767339	SRX691281	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-05-04 || depth: 0.01m || elev: 400m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Chengdu || lat_lon: 30.65 N 104.06 E || label: Meta-7-1-30-B || BioSampleModel: MIMS.
DIQT00000000	Bioreactor	1074392	Near complete	96.25	36.00069745	SRX691281	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-05-04 || depth: 0.01m || elev: 400m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Chengdu || lat_lon: 30.65 N 104.06 E || label: Meta-7-1-30-B || BioSampleModel: MIMS.
DIQP00000000	Bioreactor	1845461	Medium	85.25	51.01518235	SRX691281	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-05-04 || depth: 0.01m || elev: 400m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Chengdu || lat_lon: 30.65 N 104.06 E || label: Meta-7-1-30-B || BioSampleModel: MIMS.
DIQD00000000	Bioreactor	2645100	Medium	83.43	48.88137907	SRX691286	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-25 || depth: 0.01m || elev: 500m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Mianyang || lat_lon: 31.46 N 104.68 E || label: Meta-8-3-20-T || BioSampleModel: MIMS
DIQC00000000	Bioreactor	2326107	Near complete	92.51	45.36995179	SRX691286	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-25 || depth: 0.01m || elev: 500m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Mianyang || lat_lon: 31.46 N 104.68 E || label: Meta-8-3-20-T || BioSampleModel: MIMS
DIQB00000000	Bioreactor	1907581	Partial	65.02	47.537645	SRX691286	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-25 || depth: 0.01m || elev: 500m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Mianyang || lat_lon: 31.46 N 104.68 E || label: Meta-8-3-20-T || BioSampleModel: MIMS
DIQA00000000	Bioreactor	2659505	Near complete	93.79	48.27305267	SRX691286	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-25 || depth: 0.01m || elev: 500m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Mianyang || lat_lon: 31.46 N 104.68 E || label: Meta-8-3-20-T || BioSampleModel: MIMS
DIPQ00000000	Bioreactor	2088240	Near complete	94.14	47.94776227	SRX691284	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-25 || depth: 0.01m || elev: 500m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Mianyang || lat_lon: 31.46 N 104.68 E || label: Meta-8-1-20-B || BioSampleModel: MIMS
DIPO00000000	Bioreactor	2834323	Near complete	91.24	38.73874675	SRX691284	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-25 || depth: 0.01m || elev: 500m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Mianyang || lat_lon: 31.46 N 104.68 E || label: Meta-8-1-20-B || BioSampleModel: MIMS
DIPL00000000	Bioreactor	960543	Medium	83.47	30.85247454	SRX691284	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-25 || depth: 0.01m || elev: 500m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Mianyang || lat_lon: 31.46 N 104.68 E || label: Meta-8-1-20-B || BioSampleModel: MIMS
DIPH00000000	Bioreactor	2849227	Near complete	94.89	48.16078715	SRX691284	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-25 || depth: 0.01m || elev: 500m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Mianyang || lat_lon: 31.46 N 104.68 E || label: Meta-8-1-20-B || BioSampleModel: MIMS
DIPE00000000	Bioreactor	1856037	Medium	86.07	51.93015994	SRX691284	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-25 || depth: 0.01m || elev: 500m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Mianyang || lat_lon: 31.46 N 104.68 E || label: Meta-8-1-20-B || BioSampleModel: MIMS
DIPB00000000	Bioreactor	2627579	Medium	77.5	52.45757913	SRX691284	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-25 || depth: 0.01m || elev: 500m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Mianyang || lat_lon: 31.46 N 104.68 E || label: Meta-8-1-20-B || BioSampleModel: MIMS
DIPA00000000	Bioreactor	2276730	Medium	79.15	49.04807389	SRX691284	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-25 || depth: 0.01m || elev: 500m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Mianyang || lat_lon: 31.46 N 104.68 E || label: Meta-8-1-20-B || BioSampleModel: MIMS
DIOR00000000	Bioreactor	2121455	Near complete	94.56	47.80735193	SRX691285	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-25 || depth: 0.01m || elev: 500m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Mianyang || lat_lon: 31.46 N 104.68 E || label: Meta-8-2-20-M || BioSampleModel: MIMS
DIOK00000000	Bioreactor	2584832	Medium	87.79	47.86367296	SRX691285	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-25 || depth: 0.01m || elev: 500m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Mianyang || lat_lon: 31.46 N 104.68 E || label: Meta-8-2-20-M || BioSampleModel: MIMS
DIOJ00000000	Bioreactor	1823930	Medium	72.38	55.64125791	SRX691285	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-25 || depth: 0.01m || elev: 500m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Mianyang || lat_lon: 31.46 N 104.68 E || label: Meta-8-2-20-M || BioSampleModel: MIMS
DIOA00000000	Built Environment	4098678	Near complete	92.01	35.37693947	SRX823264	New York City MTA subway samples Metagenome	host: not applicable || collection_date: 07-Aug-2013 || env_biome: city || env_feature: subway || env_material: metal/plastic || geo_loc_name: USA:New York City || lat_lon: 40.82 N 73.88 W || isolate: P01324 || BioSampleModel: Metagenome or environmental
DIMT00000000	Bioreactor	1941859	Medium	86.29	49.01765936	SRX392470	Dechlorination Culture Metagenome	None
DIMR00000000	Bioreactor	2047817	Near complete	95.36	42.42828102	SRX392470	Dechlorination Culture Metagenome	None
DIMI00000000	Built Environment	1604189	Near complete	98.67	43.61510971	SRX823046	New York City MTA subway samples Metagenome	host: not applicable || collection_date: 02-Aug-2013 || env_biome: city || env_feature: subway || env_material: wood || geo_loc_name: USA:New York City || lat_lon: 40.65 N 73.94 W || isolate: P01091 || BioSampleModel: Metagenome or environmental
