DDBJ/ENA/GenBank Accession	UBA Genome ID	SRA Bin ID	Genome Quality	CheckM Completeness	CheckM Contamination	CheckM Strain Heterogeneity	NCBI Organism Name	Genome Size (bp)	GC	Coverage	Bases >5x Coverage (%)	No. Ambiguous Bases	No. Contigs	No. Scaffolds	No. Predicted Genes	Environment
DJSB00000000	UBA6345	SRX834626	Near complete	92.13	1.69	0	Catabacter sp. UBA6345 [genus]	1291702	30.06124218	13.77	98.47057382	2068	84	50	1097	Gut
DJQZ00000000	UBA6373	SRX834624	Partial	57.94	0.81	50	Catabacter sp. UBA6373 [genus]	999301	37.72412663	8.26	83.04602177	4272	203	117	890	Gut
DJQM00000000	UBA6386	SRX834623	Near complete	97.95	2.89	11.11	Clostridiales bacterium UBA6386 [order]	2306220	57.61517538	26.73	99.92457127	3384	125	66	2144	Gut
DJPG00000000	UBA6418	SRX834622	Near complete	92.34	1.06	66.67	Firmicutes bacterium UBA6418 [phylum]	2341991	50.90786146	13.92	98.38296911	14268	348	157	2278	Gut
DJPC00000000	UBA6422	SRX834622	Medium	76.78	1.11	0	Dialister sp. UBA6422 [genus]	1704096	41.51298686	11.15	96.13971404	14273	383	182	1570	Gut
DJPB00000000	UBA6423	SRX834622	Medium	76.18	0.66	33.33	Bacillales bacterium UBA6423 [order]	1383238	46.21390569	10.16	94.28941039	11138	326	173	1309	Gut
DJNY00000000	UBA6452	SRX834620	Medium	85	3.74	28.57	Lachnospiraceae bacterium UBA6452 [family]	2557040	44.7764191	14.33	98.73943161	17154	426	242	2444	Gut
DJNW00000000	UBA6454	SRX834620	Near complete	90.3	0.78	50	Ruminococcaceae bacterium UBA6454 [family]	2178620	46.16918105	12.82	98.12568939	4594	164	91	2016	Gut
DJNO00000000	UBA6462	SRX834629	Near complete	95.14	0	0	Catabacter sp. UBA6462 [genus]	1510907	35.41609533	29.48	99.99629048	1277	29	15	1387	Gut
DJMW00000000	UBA6480	SRX834628	Near complete	98.31	3.22	0	Lachnospiraceae bacterium UBA6480 [family]	2932819	46.32485704	12.57	97.87686471	3001	98	40	2713	Gut
DJJR00000000	UBA6563	SRX822645	Partial	67.41	0.63	0	Pelosinus fermentans [species]	4619751	39.9901489	25.34	99.99264746	9098	137	83	4169	Built Environment
DKLE00000000	UBA6648	SRX822460	Near complete	90.39	0.71	0	Firmicutes bacterium UBA6648 [phylum]	2754955	38.63210991	9.41	92.24270802	18317	450	306	2682	Built Environment
DKLB00000000	UBA6651	SRX822461	Medium	73.99	3.5	0	Firmicutes bacterium UBA6651 [phylum]	2191187	39.1649509	6.08	62.65626592	12369	269	125	2664	Built Environment
DKGP00000000	UBA6767	SRX823215	Near complete	98.59	4.46	0	Firmicutes bacterium UBA6767 [phylum]	4170752	33.341186	30.93	99.81227971	2316	96	81	4030	Built Environment
DKGO00000000	UBA6768	SRX823215	Medium	90.07	7.4	12.5	Bacillales bacterium UBA6768 [order]	3530160	34.87166335	13.08	96.30660645	5407	268	240	3488	Built Environment
DKFI00000000	UBA6800	SRX545991	Medium	86.3	0.63	100	Firmicutes bacterium UBA6800 [phylum]	2122259	46.28675795	56.3	99.97258501	6628	258	176	2199	Bioreactor
DKFC00000000	UBA6806	SRX545991	Near complete	93.59	2.62	0	Firmicutes bacterium UBA6806 [phylum]	3978242	40.19397218	29.73	99.94195415	352	85	80	3609	Bioreactor
DKEX00000000	UBA6811	SRX545991	Medium	87.91	4.68	0	Firmicutes bacterium UBA6811 [phylum]	2826768	64.14102403	17.52	99.16633107	8383	264	143	2692	Bioreactor
DKEV00000000	UBA6813	SRX545991	Medium	82.94	0.63	100	Firmicutes bacterium UBA6813 [phylum]	2530348	45.4008258	13.92	98.39326718	5286	360	274	2735	Bioreactor
DKEH00000000	UBA6827	SRX822923	Near complete	99.07	2.1	0	Firmicutes bacterium UBA6827 [phylum]	3386853	38.08320842	9.39	91.69517593	3157	70	36	3334	Built Environment
DKDP00000000	UBA6845	SRX834630	Near complete	95.75	0	0	Ruminococcaceae bacterium UBA6845 [family]	2225376	45.77379918	15.99	99.71239099	3262	106	57	1999	Gut
DKCV00000000	UBA6865	SRX834634	Near complete	96.63	1.46	0	Bacillales bacterium UBA6865 [order]	1576473	39.62146127	21.63	99.91879574	201	32	29	1341	Gut
DKCG00000000	UBA6880	SRX834636	Medium	83.11	0	0	Catabacter sp. UBA6880 [genus]	1564704	47.11122718	33.39	99.99455933	2397	73	42	1318	Gut
DJXS00000000	UBA6998	SRX445324	Partial	67.39	2.33	36.36	Lachnospiraceae bacterium UBA6998 [family]	2432220	52.18619129	137.51	99.99665531	10474	230	139	2242	Gut
DJWY00000000	UBA7018	SRX445325	Near complete	95.08	0.63	0	Selenomonadales bacterium UBA7018 [order]	2477577	45.19074076	150.02	99.99862548	3984	74	39	2178	Gut
DLBA00000000	UBA7033	SRX822677	Near complete	92.07	1.4	0	Firmicutes bacterium UBA7033 [phylum]	3050214	38.18089694	68.74	100.0004263	964	26	19	2914	Built Environment
DKWL00000000	UBA7153	SRX803756	Near complete	97.3	1.35	0	Lachnoclostridium sp. UBA7153 [genus]	3095739	34.57939678	62.1	99.8135319	14783	220	169	2896	Gut
DKVY00000000	UBA7166	SRX803756	Medium	85.59	1.68	25	Ruminococcaceae bacterium UBA7166 [family]	1929872	39.2547288	15.78	97.68320241	63330	387	164	1755	Gut
DKVN00000000	UBA7177	SRX803757	Medium	72.18	0	0	Faecalibacterium sp. UBA7177 [genus]	2305795	64.63339248	118.67	99.89572645	84714	464	181	2172	Gut
DKUZ00000000	UBA7191	SRX803757	Medium	88.87	2.8	28.57	Ruminococcus sp. UBA7191 [genus]	1754807	44.68400506	17.09	98.52714419	42691	295	144	1549	Gut
DKSJ00000000	UBA7259	SRX331751	Partial	66.43	0.69	0	Dialister sp. UBA7259 [genus]	2056829	49.67556771	22.29	99.84083994	3550	202	135	1752	Gut
DKRQ00000000	UBA7278	SRX331753	Medium	78.49	0.05	0	Bacillales bacterium UBA7278 [order]	1272453	53.94970996	47.94	99.99732751	233	37	31	1124	Gut
DKQZ00000000	UBA7295	SRX331752	Partial	65.8	0.63	0	Dialister sp. UBA7295 [genus]	2075315	49.6611042	35.42	99.92169864	2554	155	112	1752	Gut
DKPH00000000	UBA7340	SRX822295	Near complete	99.25	0.75	0	Streptococcus suis [species]	1860388	39.49726975	31.06	99.99919358	305	47	43	1877	Built Environment
DLOO00000000	UBA7482	SRX147847	Medium	86.33	0.4	0	Lachnoclostridium sp. UBA7482 [genus]	2051127	47.88712848	16.04	99.23655519	19153	368	87	1942	Gut
DLNM00000000	UBA7510	SRX823226	Near complete	98.89	4.55	0	Firmicutes bacterium UBA7510 [phylum]	3745532	29.99380651	24.55	99.45547589	6120	110	72	3660	Built Environment
DLMZ00000000	UBA7523	SRX1122679	Near complete	93.64	0.85	0	Firmicutes bacterium UBA7523 [phylum]	2098518	43.82868867	30.5	99.28187519	22695	214	59	2148	Aquifer
DLKU00000000	UBA7580	SRX834646	Near complete	96.07	1.12	0	Bacillales bacterium UBA7580 [order]	1314143	28.32224465	14.95	99.07752126	942	46	34	1190	Gut
DLKT00000000	UBA7581	SRX834646	Near complete	98.76	0	0	Bacillales bacterium UBA7581 [order]	1597691	33.69960364	12.46	97.61691504	1147	85	61	1419	Gut
DLKQ00000000	UBA7584	SRX834641	Medium	88.28	2.25	50	Catabacter sp. UBA7584 [genus]	1017069	32.32116964	13.85	98.87898561	1917	65	43	906	Gut
DLKM00000000	UBA7588	SRX834640	Medium	84.79	0	0	Catabacter sp. UBA7588 [genus]	1748774	45.84205172	32.91	99.99215703	1987	52	30	1474	Gut
DLQW00000000	UBA7597	SRX834642	Medium	86.39	1.21	0	Catabacter sp. UBA7597 [genus]	1765851	51.48520195	10.05	92.79736989	5619	226	98	1541	Gut
DLQV00000000	UBA7598	SRX834642	Medium	84.76	3.09	0	Lachnospiraceae bacterium UBA7598 [family]	2552579	43.793124	8.55	89.98495162	18752	646	309	2595	Gut
DLJN00000000	UBA7615	SRX823159	Near complete	92.28	0.74	0	Clostridium sp. UBA7615 [genus]	3575800	29.9439718	7.7	79.17057935	14736	384	186	3728	Built Environment
DLIN00000000	UBA7641	SRX691268	Near complete	91.31	2.54	0	Firmicutes bacterium UBA7641 [phylum]	3481705	41.42123764	22.26	99.8825261	72437	544	198	3139	Bioreactor
DLIB00000000	UBA7653	SRX822660	Near complete	99.44	0	0	Leuconostoc lactis [species]	1605069	43.68382797	10.08	93.94870312	917	45	35	1668	Built Environment
DLGF00000000	UBA7701	DRX012718	Medium	84.3	2.85	0	Sporomusaceae bacterium UBA7701 [family]	3580469	55.98950397	45.82	99.98407831	448	28	25	3502	Bioreactor
DLGA00000000	UBA7706	DRX012718	Medium	76.97	1.12	0	Bacillales bacterium UBA7706 [order]	1157031	39.5167892	12.18	97.83609732	186	5	3	1057	Bioreactor
DLFX00000000	UBA7709	DRX012718	Medium	76.2	1.77	25	Firmicutes bacterium UBA7709 [phylum]	3251035	50.64510909	6.69	68.5959921	13133	711	407	3616	Bioreactor
DLDM00000000	UBA7772	SRX331741	Partial	53.5	0.63	100	Dialister sp. UBA7772 [genus]	1685730	49.97436197	42.5	99.8878149	14385	367	186	1490	Gut
DLCT00000000	UBA7791	SRX822641	Near complete	97.08	1.78	0	Clostridium sp. UBA7791 [genus]	3719937	29.84655346	53.88	100.0006464	7113	52	13	3538	Built Environment
DLSM00000000	UBA7862	SRX834665	Near complete	92.02	0	0	Catabacter sp. UBA7862 [genus]	1188536	37.35794618	32.49	99.99595996	430	25	14	962	Gut
