DDBJ/ENA/GenBank Accession	UBA Genome ID	SRA Bin ID	Genome Quality	CheckM Completeness	CheckM Contamination	CheckM Strain Heterogeneity	NCBI Organism Name	SSU Length (bp)	SSU Percent Identity (top hit)	SSU SILVA Taxonomy (top hit)	SSU Top Hit in SILVA	Genome Size (bp)	GC	Coverage	Bases >5x Coverage (%)	No. Ambiguous Bases	No. Contigs	No. Scaffolds	No. Predicted Genes	Coding density	Longest Contig (bp)	Longest Scaffold (bp)	Mean Contig Length (bp)	Mean Scaffold Length (bp)	N50 (contigs)	N50 (scaffolds)	Translation Table	Scaffolds Removed by Filtering	Standard tRNAs	Selenocysteine tRNAs (TCA)	tRNAs Decoding Standard 20 AA	Total tRNAs	Percent PG (relative to NCBI genomes)	CheckM Marker Lineage	CheckM # genomes	CheckM # marker sets	CheckM # markers	CheckM Insertion Branch ID	Environment
DGEK00000000	UBA3928	ERX1109758	Near complete	91.82	1.01	0	Firmicutes bacterium UBA3928 [phylum]					2153276	48.86343261	44.11	99.97507569	22826	183	82	2031	0.854378631	82437	128306	11641	26259	20237	50835	11	1	17	0	37	37	0	p__Firmicutes (UID239)	1324	102	176	UID239	Bioreactor
DGEI00000000	UBA3930	ERX1109758	Medium	86.06	0	0	Firmicutes bacterium UBA3930 [phylum]					1988224	42.72676507	37.18	99.95857364	11222	100	50	1812	0.862778037	209385	314290	19770	39764	41218	63392	11	2	18	0	37	38	0	c__Clostridia (UID1118)	387	124	223	UID1421	Bioreactor
DGEH00000000	UBA3931	ERX1109758	Near complete	96.97	4.2	0	Firmicutes bacterium UBA3931 [phylum]					3019212	34.1066709	35.34	99.91837197	36168	415	250	2974	0.855950824	161195	161204	7188	12076	15357	21585	11	23	14	0	24	24	0.008766	o__Clostridiales (UID1120)	304	143	250	UID1126	Bioreactor
DGEG00000000	UBA3932	ERX1109758	Medium	82.33	3.19	33.33	Firmicutes bacterium UBA3932 [phylum]	315	92.787	Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII;Family XIII UCG-002;uncultured bacterium	CU918987.1.1349	1892081	46.6921125	32.17	99.88518821	26419	301	185	1796	0.840226185	51703	52383	6198	10227	10694	13052	11	10	17	1	34	36	0.014851	o__Clostridiales (UID1120)	304	141	247	UID1150	Bioreactor
DGEC00000000	UBA3936	ERX1109758	Medium	89.34	0.03	100	Firmicutes bacterium UBA3936 [phylum]					2017191	49.41230857	29.54	99.89568757	9760	173	129	1982	0.884050147	82082	82082	11603	15637	18824	21820	11	37	17	1	34	35	0	p__Firmicutes (UID241)	930	118	213	UID1023	Bioreactor
DGEB00000000	UBA3937	ERX1109758	Near complete	90.71	1.86	0	Peptococcaceae bacterium UBA3937 [family]	351	93.372	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;uncultured;uncultured bacterium	GQ134127.1.1385	1713443	48.82490005	26.95	99.86300182	17800	156	71	1632	0.856829787	87763	87763	10869	24133	17607	36354	11	0	15	1	34	35	0.010644	c__Clostridia (UID1085)	35	196	420	UID1109	Bioreactor
DGDX00000000	UBA3941	ERX1109758	Medium	78.97	3.23	0	Firmicutes bacterium UBA3941 [phylum]					2093111	42.43763156	21.49	99.85047376	29928	259	129	1942	0.830146132	60999	97395	7965	16225	17575	22119	11	13	14	0	25	25	0.012969	c__Clostridia (UID1118)	387	124	223	UID1421	Bioreactor
DGDW00000000	UBA3942	ERX1109758	Partial	64.06	1.21	0	Firmicutes bacterium UBA3942 [phylum]					1695219	41.37036288	20.8	99.88725197	29558	232	112	1568	0.827841123	47998	74335	7179	15135	12218	19842	11	3	14	0	22	22	0.012327	c__Clostridia (UID1118)	387	124	223	UID1421	Bioreactor
DGDV00000000	UBA3943	ERX1109758	Near complete	90.18	1.13	0	Firmicutes bacterium UBA3943 [phylum]					2180608	52.34001199	19.58	99.83916226	6367	96	60	2076	0.86549256	166685	192555	22648	36343	46519	64973	11	3	16	0	32	34	0.028386	p__Firmicutes (UID241)	930	118	213	UID1022	Bioreactor
DGDU00000000	UBA3944	ERX1109758	Near complete	94.54	1.44	50	Catabacter sp. UBA3944 [genus]					1719977	50.86137624	18.78	99.854762	13812	130	58	1441	0.890403186	83776	106943	13124	29654	21586	46391	11	0	19	0	36	37	0.007034	p__Firmicutes (UID240)	1318	104	179	UID1117	Bioreactor
DGDR00000000	UBA3947	ERX1109758	Medium	90.9	5.61	11.11	Clostridium sp. UBA3947 [genus]	311	98.013	Bacteria;Firmicutes;Clostridia;Clostridiales;Gracilibacteraceae;Lutispora;uncultured bacterium	JF417896.1.1487	3184899	34.33346498	17.36	99.61493476	24915	377	264	3037	0.848104759	67941	113589	8381	12064	15239	17866	11	14	16	0	40	42	0.011287	p__Firmicutes (UID240)	1318	104	178	UID1375	Bioreactor
DGDN00000000	UBA3951	ERX1109758	Medium	84.79	0	0	Firmicutes bacterium UBA3951 [phylum]	372	97.853	Bacteria;Firmicutes;OPB54;uncultured bacterium	FJ205800.1.1295	2137398	57.3185949	15.1	99.60601809	24103	239	123	2065	0.8677186	75264	93186	8842	17377	16790	29104	11	6	16	0	28	28	0.016113	p__Firmicutes (UID239)	1324	101	175	UID1447	Bioreactor
DGDM00000000	UBA3952	ERX1109758	Medium	87.07	1.61	33.33	Halothermothrix sp. UBA3952 [genus]					1690765	40.46629856	13.59	98.9444271	18403	249	153	1673	0.86452937	46731	54971	6716	11050	13128	15368	11	7	13	0	21	23	0.000038	p__Firmicutes (UID241)	930	114	207	UID1020	Bioreactor
DGDJ00000000	UBA3955	ERX1109758	Medium	75.32	0.32	0	Pelotomaculum sp. UBA3955 [genus]					2115683	49.92958263	11.84	98.86569912	16769	280	187	2037	0.813331676	63692	64302	7496	11313	13706	14721	11	1	5	1	7	8	0.000554	p__Firmicutes (UID1022)	100	158	295	UID1095	Bioreactor
DGDI00000000	UBA3956	ERX1109758	Near complete	93.44	2.45	0	Firmicutes bacterium UBA3956 [phylum]					2163995	63.52179306	19.12	99.81900857	18037	182	82	1972	0.876567645	70709	136880	11790	26390	24593	38483	11	8	17	1	36	39	0	p__Firmicutes (UID239)	1324	102	176	UID239	Bioreactor
DFZT00000000	UBA4049	SRX211001	Medium	85.03	0	0	Firmicutes bacterium UBA4049 [phylum]	1538	96.54	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;uncultured;uncultured Firmicutes bacterium	GU179924.1.1502	1826274	46.43821385	515.78	99.99923205	3228	140	103	1872	0.859418685	72958	72962	13021	17730	23245	27269	11	100	20	0	40	40	0.002386	p__Firmicutes (UID1022)	100	158	295	UID1091	Bioreactor
DFZP00000000	UBA4053	SRX211001	Partial	58.32	0.32	0	Firmicutes bacterium UBA4053 [phylum]	760	99.712	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;uncultured;uncultured Clostridia bacterium	EU522653.1.1394	1239205	47.16511373	216.51	99.985426	4129	155	107	1282	0.834298603	36438	57213	7968	11581	12860	17979	11	47	19	0	27	27	0.006958	p__Firmicutes (UID1022)	100	158	295	UID1090	Bioreactor
DFZH00000000	UBA4061	SRX211001	Medium	84.18	1.74	50	Firmicutes bacterium UBA4061 [phylum]					1821097	42.41183594	53.79	99.95422771	7773	286	206	2004	0.855012665	125390	125394	6340	8840	10570	12693	11	39	17	0	34	34	0.000107	p__Firmicutes (UID1022)	100	158	295	UID1090	Bioreactor
DFYD00000000	UBA4091	SRX211001	Near complete	91.6	1.05	50	Firmicutes bacterium UBA4091 [phylum]					1791414	42.45639307	8.24	84.87467878	1733	227	204	1991	0.908167515	45020	45030	7884	8781	11254	11258	11	3	8	1	11	12	0.017134	o__Clostridiales (UID1120)	304	143	250	UID1126	Bioreactor
DFTD00000000	UBA4221	SRX290705	Partial	51.72	0	0	Megasphaera elsdenii [species]	431	96.651	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera;uncultured bacterium	AB507615.1.1557	1454592	53.67563795	249.93	100.0002063	137	34	32	1302	0.881249863	186596	186596	42778	45456	77637	77637	11	0	18	1	45	46	0	k__Bacteria (UID203)	5449	58	104	UID1082	Gut
DGWS00000000	UBA4252	SRX290706	Partial	65.27	0	0	Megasphaera elsdenii [species]	1561	99.424	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera;Megasphaera elsdenii	JRPS01000028.5302.6870	1544238	52.96422096	221.27	100.0042765	932	32	19	1387	0.877007301	355361	368715	48228	81275	197245	197245	11	1	20	1	52	54	0	o__Selenomonadales (UID1024)	64	167	334	UID1081	Gut
DGWE00000000	UBA4266	SRX290706	Partial	57.56	0.23	0	Eubacteriaceae bacterium UBA4266 [family]	467	96.507	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Pseudoramibacter;uncultured bacterium	AB507685.1.1518	1317984	53.82827542	50.19	99.98663208	1399	128	113	1310	0.901979842	36408	44628	10285	11663	16774	18408	11	8	17	0	32	33	0.009103	o__Clostridiales (UID1120)	304	142	249	UID1124	Gut
DGVZ00000000	UBA4271	SRX290706	Medium	87.96	0.71	0	Faecalitalea sp. UBA4271 [genus]	1677	98.561	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-001;uncultured rumen bacterium	GU120137.1.1506	1753258	38.08775094	31.61	99.94142401	1687	156	143	1882	0.920408748	57921	57921	11228	12260	17237	17568	11	7	17	0	30	30	0.006253	k__Bacteria (UID2372)	131	106	177	UID2385	Gut
DGTG00000000	UBA4342	SRX290708	Medium	89.67	6.2	0	Lachnospira sp. UBA4342 [genus]	323	99.379	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eubacterium uniforme	GU269550.1.1458	2992003	32.00582422	37.37	99.96629317	4478	243	202	2705	0.88663113	67204	79167	12294	14811	19432	27837	11	17	18	0	52	52	0.013655	o__Clostridiales (UID1212)	172	149	263	UID1248	Gut
DGSQ00000000	UBA4358	SRX290709	Medium	76.73	0	0	Clostridiales bacterium UBA4358 [order]	1613	99.842	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-005;uncultured bacterium	AB746800.1.1521	1880346	60.04647782	291.07	99.97854377	6764	116	60	1618	0.883769264	165153	204959	16151	31339	40744	54755	11	5	18	0	37	37	0.012999	o__Clostridiales (UID1212)	172	149	263	UID1230	Gut
DGSJ00000000	UBA4365	SRX290709	Partial	61.4	0	0	Bacillales bacterium UBA4365 [order]	350	97.135	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-004;uncultured bacterium	EU842803.1.1499	704530	36.2352784	73.82	99.9853619	887	77	68	669	0.916977276	38639	38639	9138	10360	13229	14422	11	12	18	0	36	36	0.028858	k__Bacteria (UID203)	5449	57	103	UID2372	Gut
DGRV00000000	UBA4379	SRX290709	Near complete	91.14	2.02	0	Catabacter sp. UBA4379 [genus]	366	99.727	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Selenomonas 1;Selenomonas ruminantium	AB198427.1.1420	2988944	58.88446028	34.37	99.96489185	9579	216	106	2662	0.871583074	109751	133367	13793	28197	27509	52285	11	1	17	0	36	37	0.015524	c__Clostridia (UID1118)	387	124	223	UID1119	Gut
DGRS00000000	UBA4382	SRX290709	Near complete	95.25	1.55	60	Megasphaera sp. UBA4382 [genus]	962	95.984	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera;uncultured bacterium	AB507598.1.1559	2437087	49.56337086	15.86	99.32151991	1496	105	88	2288	0.897161242	127519	127519	23196	27694	42699	43571	11	3	17	0	33	33	0	o__Selenomonadales (UID1024)	64	167	334	UID1081	Gut
DGRE00000000	UBA4396	SRX822757	Near complete	98.73	0.95	0	Hungatella sp. UBA4396 [genus]	1529	98.554	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium 5;[Clostridium] saccharolyticum WM1	CP002109.196661.198179	4500952	44.9259314	44.37	100.0002666	57	72	71	4232	0.897541676	309218	309220	62512	63393	102989	102989	11	1	17	1	54	55	0.003333	o__Clostridiales (UID1226)	155	158	278	UID1356	Built Environment
DGKZ00000000	UBA4557	SRX822533	Near complete	97.67	3.85	0	Firmicutes bacterium UBA4557 [phylum]					4119244	35.46615385	57.61	100.0000729	2395	66	48	3976	0.878483285	444578	444580	62376	85817	134764	172737	11	1	20	0	45	45	0.006218	o__Clostridiales (UID1120)	304	143	250	UID1126	Built Environment
DGJJ00000000	UBA4599	SRX822221	Near complete	98.37	3.85	0	Firmicutes bacterium UBA4599 [phylum]					4234627	35.48195568	22.1	99.98231065	441	52	49	4042	0.880870263	398236	415285	81426	86420	114193	127202	11	4	17	0	32	33	0.006218	o__Clostridiales (UID1120)	304	143	250	UID1126	Built Environment
DGIM00000000	UBA4622	SRX834662	Near complete	95.62	0	0	Bacillales bacterium UBA4622 [order]	679	93.935	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-004;uncultured Mollicutes bacterium	AM420117.1.1486	1080397	27.91716292	79.58	99.90888442	4840	95	54	993	0.894146318	67182	104580	11321	20007	18895	36208	11	0	20	0	37	37	0.033058	k__Bacteria (UID2329)	174	89	149	UID2372	Gut
DHNC00000000	UBA4626	SRX834662	Near complete	90.45	0.16	0	Catabacter sp. UBA4626 [genus]	1070	96.284	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group;uncultured rumen bacterium	AB555208.1.1517	1043338	36.32825544	43.1	99.80396559	1174	61	45	939	0.847499085	145927	146399	17084	23185	25869	26685	11	1	20	0	37	39	0.044446	k__Bacteria (UID2329)	174	89	149	UID2329	Gut
DHMX00000000	UBA4631	SRX834662	Near complete	95.64	0	0	Lachnospiraceae bacterium UBA4631 [family]	335	98.494	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes;uncultured bacterium	FJ365126.1.1379	2592100	41.76127122	34.71	99.99027553	699	44	35	2377	0.908356931	299549	431239	58895	74060	88879	124268	11	0	16	0	35	36	0.003794	o__Clostridiales (UID1212)	172	149	263	UID1369	Gut
DHLF00000000	UBA4675	SRX834666	Near complete	95.14	0	0	Catabacter sp. UBA4675 [genus]	339	90.265	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group;uncultured rumen bacterium	GU303621.1.1479	1472528	35.1119857	128.78	100.0009516	1358	26	14	1343	0.884513571	230228	355335	56583	105180	76837	140786	11	0	20	0	43	43	0.019004	c__Clostridia (UID1118)	387	124	223	UID1119	Gut
DHKX00000000	UBA4683	SRX834666	Medium	78.03	0	0	Catabacter sp. UBA4683 [genus]	998	100	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group;uncultured bacterium	JQ185979.1.1338	1426004	47.13523974	65.2	100	10074	188	83	1237	0.831795703	58266	98957	7531	17180	12784	26463	11	0	20	0	41	41	0.001615	o__Clostridiales (UID1212)	172	149	263	UID1226	Gut
DHKR00000000	UBA4689	SRX834666	Medium	74.86	0.17	100	Catabacter sp. UBA4689 [genus]	307	99.01	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group;uncultured bacterium	EU472086.1.1391	1596102	45.13993247	34.95	99.9874613	9015	207	128	1447	0.857349342	49938	59189	7667	12469	12789	20093	11	2	18	0	32	32	0.015004	o__Clostridiales (UID1212)	172	149	263	UID1226	Gut
DHHK00000000	UBA4774	SRX559915	Near complete	90.03	2.02	68.42	Firmicutes bacterium UBA4774 [phylum]					2183232	43.15266134	179.4	100.0002749	289	48	44	2191	0.865287335	274223	274223	45477	49618	83999	83999	11	1	19	0	43	43	0.002667	p__Firmicutes (UID1022)	100	158	295	UID1090	Bioreactor
DHGV00000000	UBA4789	SRX559915	Near complete	91.48	2.31	16.67	Pelotomaculum sp. UBA4789 [genus]					1993412	49.22071163	57.43	99.96940519	2878	170	128	2055	0.864325588	86982	86988	11709	15573	20889	23516	11	131	18	1	37	39	0.010105	p__Firmicutes (UID1022)	100	158	295	UID1095	Bioreactor
DHGP00000000	UBA4795	SRX559915	Medium	85.46	0.32	0	Firmicutes bacterium UBA4795 [phylum]					1821946	42.20996483	37.69	99.92243368	279	47	44	1895	0.866966968	191651	191655	38758	41407	80405	87076	11	3	18	0	40	41	0.002018	p__Firmicutes (UID1022)	100	158	295	UID1090	Bioreactor
DHGM00000000	UBA4798	SRX559915	Medium	70.56	0.7	0	Firmicutes bacterium UBA4798 [phylum]					1520823	43.05624554	31.17	99.90790899	7103	182	85	1550	0.896741435	92644	134175	8317	17892	18840	28674	11	12	12	1	19	20	0.017111	o__Clostridiales (UID1120)	304	143	250	UID1126	Bioreactor
DHGC00000000	UBA4808	SRX559915	Near complete	96.25	0.47	100	Erysipelotrichaceae bacterium UBA4808 [family]	1470	99.48	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelothrix;uncultured Erysipelothrix sp.	DQ234215.1.1535	1857832	40.9872384	20.77	99.58831794	4460	172	109	2000	0.917324064	112312	112312	10775	17044	19266	27219	11	43	18	0	31	31	0.020711	k__Bacteria (UID2372)	131	106	177	UID2382	Bioreactor
DHFP00000000	UBA4821	SRX559915	Near complete	90.89	4.08	0	Clostridiales bacterium UBA4821 [order]	351	91.168	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-014;uncultured bacterium	KF939435.1.1360	3211744	37.08056038	13	97.97157469	1717	325	293	3330	0.874987857	96934	96936	9877	10961	17270	17595	11	33	10	0	20	20	0.015664	o__Clostridiales (UID1120)	304	143	250	UID1213	Bioreactor
DHFA00000000	UBA4836	SRX691273	Medium	76.63	0.21	0	Firmicutes bacterium UBA4836 [phylum]					1731572	50.11760226	9.67	94.61340953	61536	535	125	1864	0.778277196	37545	67695	3121	13852	5864	20522	11	0	15	1	25	27	0.034679	p__Firmicutes (UID241)	930	118	213	UID1023	Bioreactor
DHEZ00000000	UBA4837	SRX691273	Partial	65.13	0	0	Bacillales bacterium UBA4837 [order]	828	86.864	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Asteroleplasma;uncultured bacterium	JQ191093.1.1342	1617453	37.64412343	7.58	86.93141563	86040	762	105	1381	0.654396758	16765	59888	2009	15404	3776	23375	11	2	18	0	30	34	0.028173	k__Bacteria (UID2329)	174	89	149	UID2372	Bioreactor
DHER00000000	UBA4845	SRX691272	Near complete	96.64	0.35	0	Firmicutes bacterium UBA4845 [phylum]					3413846	35.40918521	42.91	99.86939853	3471	233	184	3274	0.872574803	166167	181764	14636	18553	48766	48766	11	218	14	0	25	25	0.009901	o__Clostridiales (UID1120)	304	143	250	UID1125	Bioreactor
DHEH00000000	UBA4855	SRX691271	Near complete	96.63	0	0	Bacillales bacterium UBA4855 [order]	1635	93.283	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-004;uncultured bacterium	AM982589.1.1482	1368447	30.31282714	52.31	99.99992669	4371	41	19	1256	0.893883358	199147	227881	33270	72023	90803	127868	11	0	20	0	43	43	0.037161	k__Bacteria (UID2329)	174	89	149	UID2372	Bioreactor
DHEG00000000	UBA4856	SRX691271	Medium	75.84	0	0	Bacillales bacterium UBA4856 [order]	1066	89.023	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Asteroleplasma;uncultured bacterium	AM696793.1.1486	831484	51.84563881	47.12	100.0073254	12418	75	16	720	0.864399074	145498	184251	10920	51967	29487	81243	11	3	16	0	29	29	0.016333	k__Bacteria (UID2329)	174	89	149	UID2372	Bioreactor
DHEA00000000	UBA4862	SRX691271	Medium	87.08	2.12	0	Firmicutes bacterium UBA4862 [phylum]					2580137	50.5604318	20.68	99.80429746	77870	503	96	2422	0.809147731	42716	140947	4974	26876	9115	43748	11	13	19	0	43	43	0.030424	p__Firmicutes (UID241)	930	118	213	UID1023	Bioreactor
DHDV00000000	UBA4867	SRX691271	Partial	62.68	2.1	0	Firmicutes bacterium UBA4867 [phylum]					1952441	34.41521507	9.48	95.07607375	87080	771	214	1887	0.738312195	23301	50215	2419	9123	4691	13222	11	12	7	0	9	9	0.008855	o__Clostridiales (UID1120)	304	143	250	UID1125	Bioreactor
DHDT00000000	UBA4869	SRX691271	Medium	81.79	0	0	Bacillales bacterium UBA4869 [order]	359	90.03	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Asteroleplasma;uncultured bacterium	JQ191094.1.1347	1759852	41.29194513	9.27	95.00281393	54052	501	80	1453	0.758269445	37214	120393	3404	21998	8687	37092	11	1	18	0	31	31	0.030133	k__Bacteria (UID2329)	174	89	149	UID2372	Bioreactor
DHDO00000000	UBA4874	SRX691270	Medium	89.02	1.61	0	Firmicutes bacterium UBA4874 [phylum]					2565274	48.86448465	86.76	100.0072072	81644	490	113	2362	0.82007536	67072	170612	5068	22701	11879	35599	11	57	18	0	50	50	0.011118	c__Clostridia (UID1118)	387	124	223	UID1421	Bioreactor
DHDH00000000	UBA4881	SRX691270	Near complete	93.45	1.31	0	Firmicutes bacterium UBA4881 [phylum]					2459741	37.95580443	14.44	99.64220567	14202	146	51	2276	0.839973396	159276	279933	16750	48230	41371	73789	11	2	18	0	37	38	0.009762	p__Firmicutes (UID239)	1324	102	176	UID239	Bioreactor
DHDG00000000	UBA4882	SRX691270	Near complete	90.85	1.47	0	Firmicutes bacterium UBA4882 [phylum]					2826369	50.1635482	13.66	99.64296804	47066	357	71	2650	0.840675793	74950	204520	7785	39808	17872	67707	11	0	14	0	30	33	0.030831	p__Firmicutes (UID239)	1324	102	176	UID239	Bioreactor
DHCX00000000	UBA4891	SRX691277	Near complete	93.95	2.45	0	Firmicutes bacterium UBA4891 [phylum]					2548429	50.4493441	37.71	99.99298375	82724	451	116	2415	0.818563515	42166	119807	5467	21969	9822	32895	11	3	15	0	33	34	0.030665	p__Firmicutes (UID239)	1324	102	176	UID239	Bioreactor
DHCQ00000000	UBA4898	SRX691277	Medium	87.87	5.05	46.67	Firmicutes bacterium UBA4898 [phylum]					2421941	48.05323447	13.38	98.53844405	51522	366	83	2345	0.836507991	58208	109927	6476	29180	23642	51964	11	1	15	1	28	31	0.036592	p__Firmicutes (UID241)	930	118	213	UID1023	Bioreactor
DHCA00000000	UBA4914	SRX691276	Near complete	92.87	0	0	Firmicutes bacterium UBA4914 [phylum]					2022606	47.97195227	38.24	99.99340182	6899	58	28	1992	0.901131511	205085	264752	34753	72235	95812	126751	11	0	19	1	44	46	0.036592	p__Firmicutes (UID241)	930	118	213	UID1023	Bioreactor
DHBZ00000000	UBA4915	SRX691276	Near complete	92.85	0.81	0	Firmicutes bacterium UBA4915 [phylum]					2503984	49.05398759	28.03	99.95999705	64164	367	100	2289	0.840283324	39958	178874	6648	25039	12303	40719	11	17	18	0	33	37	0.010896	c__Clostridia (UID1118)	387	124	223	UID1421	Bioreactor
DHBY00000000	UBA4916	SRX691276	Medium	71.68	1.82	0	Firmicutes bacterium UBA4916 [phylum]					1724733	31.42795894	27.53	99.95648319	12751	164	108	1750	0.868352957	87442	125476	10438	15969	23435	31824	11	3	12	0	19	19	0.003112	o__Clostridiales (UID1120)	304	143	250	UID1126	Bioreactor
DHBQ00000000	UBA4924	SRX691276	Medium	74.42	0.48	33.33	Firmicutes bacterium UBA4924 [phylum]	927	99.111	Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Gelria;uncultured Clostridiales bacterium	JX456423.1.1495	2554862	49.71156301	10.93	97.76343451	94706	658	172	2382	0.776001991	40984	95212	3738	14853	9385	20802	11	37	16	0	29	30	0.005263	p__Firmicutes (UID241)	930	118	213	UID242	Bioreactor
DHBP00000000	UBA4925	SRX691275	Near complete	96.64	0	0	Ruminococcaceae bacterium UBA4925 [family]	737	99.715	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 5;uncultured bacterium	JX575808.1.1480	1770280	50.63500545	927.29	100.0204151	16673	107	19	1671	0.856539079	105373	204841	16388	93172	33038	142658	11	0	20	0	46	46	0.017174	o__Clostridiales (UID1212)	172	149	263	UID1234	Bioreactor
DHBC00000000	UBA4938	SRX691275	Medium	83.9	1.08	100	Firmicutes bacterium UBA4938 [phylum]					2609483	48.85454343	16.1	99.55541703	84420	680	234	2522	0.816875987	30829	58886	3713	11151	6482	14940	11	19	13	0	22	24	0.010784	c__Clostridia (UID1118)	387	124	223	UID1421	Bioreactor
DHBB00000000	UBA4939	SRX691275	Medium	88.14	1.69	0	Firmicutes bacterium UBA4939 [phylum]					2514889	50.55589984	12.79	99.37526465	89542	603	117	2364	0.783700593	33064	96011	4022	21494	7632	32444	11	1	16	0	28	30	0.030511	p__Firmicutes (UID241)	930	118	213	UID1023	Bioreactor
DHAP00000000	UBA4951	SRX691274	Near complete	97.75	1.12	0	Bacillales bacterium UBA4951 [order]	317	96.865	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-004;uncultured bacterium	EF515475.1.1382	1535641	48.54432401	27.04	99.99196715	4428	80	54	1396	0.900510601	125209	175753	19140	28437	31683	43026	11	1	20	0	46	47	0.035996	k__Bacteria (UID2329)	174	89	149	UID2372	Bioreactor
DHAN00000000	UBA4953	SRX691274	Near complete	93.89	1.31	0	Firmicutes bacterium UBA4953 [phylum]					2542656	37.89578702	24.24	99.96605141	41816	274	67	2343	0.811105002	70657	273916	9127	37950	16546	71546	11	6	16	0	37	39	0.009762	p__Firmicutes (UID239)	1324	102	176	UID239	Bioreactor
DHAA00000000	UBA4966	SRX691279	Near complete	90.95	1.74	16.67	Thermacetogenium sp. UBA4966 [genus]	977	93.018	Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Syntrophaceticus;uncultured Thermacetogenium sp.	HQ183800.1.1502	2920803	50.67719365	153.11	99.98610566	27539	268	163	2820	0.854723513	104793	104793	10795	17919	22736	34478	11	14	18	1	38	40	0.006825	p__Firmicutes (UID1022)	100	158	295	UID1086	Bioreactor
DGZV00000000	UBA4971	SRX691279	Medium	88.98	1.06	0	Firmicutes bacterium UBA4971 [phylum]					2358295	47.79879072	83.16	99.99611572	67009	352	104	2203	0.812525151	62006	192711	6509	22675	13937	37369	11	33	19	0	41	41	0.008561	p__Firmicutes (UID241)	930	118	213	UID242	Bioreactor
DGZR00000000	UBA4975	SRX691279	Medium	82.19	0.85	0	Firmicutes bacterium UBA4975 [phylum]					1523708	58.39239994	24.81	99.91485976	53193	293	99	1529	0.83719781	65053	80669	5018	15390	11276	27359	11	0	13	1	25	27	0.035394	p__Firmicutes (UID241)	930	118	213	UID1023	Bioreactor
DGZQ00000000	UBA4976	SRX691279	Near complete	92.16	2.54	0	Firmicutes bacterium UBA4976 [phylum]					3101285	41.89610217	22.76	99.84981506	63031	469	202	2808	0.819123686	38111	70637	6478	15352	11612	22509	11	14	18	0	32	33	0.033094	p__Firmicutes (UID241)	930	118	213	UID1022	Bioreactor
DGZO00000000	UBA4978	SRX691279	Medium	87.88	0.81	0	Firmicutes bacterium UBA4978 [phylum]					2521578	49.080835	19.64	99.84604694	83822	480	158	2366	0.830653266	35927	108750	5078	15959	9063	23425	11	38	17	0	31	34	0.010859	c__Clostridia (UID1118)	387	124	223	UID1421	Bioreactor
